image_id,label
1193,1
427,0
1474,0
766,0
486,0
480,0
110,0
775,0
1388,1
1189,0
1721,1
531,0
985,0
539,0
1058,0
678,0
1102,0
317,0
1150,0
931,0
345,0
591,0
949,1
786,1
882,1
562,0
1141,0
304,0
221,0
1272,0
1081,1
742,0
1269,0
600,0
325,0
1711,1
943,0
549,0
830,0
1366,0
382,0
1450,0
30,0
866,0
1703,0
1044,1
1492,0
1709,0
1638,1
1716,0
1254,1
116,0
680,0
1423,0
1245,0
1091,1
66,0
213,0
558,0
1111,0
1616,0
1253,0
71,0
340,0
367,0
1664,0
484,0
577,0
136,0
24,0
629,0
887,1
1238,1
355,0
1034,0
1344,0
1512,0
353,0
632,0
1636,0
479,0
384,1
1031,0
238,1
1358,0
332,0
1455,0
112,0
1720,0
1092,1
189,0
652,0
937,0
414,0
465,0
599,1
940,0
368,0
163,0
333,0
1641,1
1755,1
1679,0
1069,0
174,1
1152,0
454,0
755,0
1698,0
1027,1
1206,0
204,0
863,1
375,0
1533,1
472,0
1336,0
487,1
1270,0
586,1
583,0
426,0
1277,1
1393,0
1712,1
1696,0
1441,1
1396,1
1278,0
1024,0
1658,1
50,0
995,1
1442,1
1381,0
619,0
535,0
711,0
1461,0
1744,0
868,0
79,0
211,0
1209,0
74,1
70,0
820,0
1183,0
1115,0
731,0
527,1
434,0
451,1
608,1
1384,0
1753,0
77,0
1625,1
1730,0
1316,0
483,1
1768,0
299,0
611,0
255,0
1001,0
979,0
31,0
1129,1
670,0
1472,1
352,1
1306,0
1376,1
100,0
915,0
248,0
1380,1
835,0
252,0
169,0
924,1
240,0
1112,1
695,0
1736,0
463,0
1453,1
533,0
1125,0
33,1
1345,0
234,0
498,0
1122,0
910,0
933,0
186,1
1701,1
1377,1
343,1
45,0
901,0
571,1
974,0
890,0
197,1
880,0
988,0
1342,0
60,0
1210,1
290,1
298,0
1114,0
1074,1
1565,1
1320,1
1433,0
1561,1
124,0
1353,1
556,1
1770,0
271,1
1777,0
1134,0
1615,1
1610,0
814,0
1558,0
276,0
1454,1
964,0
351,0
773,0
1541,1
1527,0
965,0
1000,0
1282,1
1279,0
1579,1
1614,0
1337,1
68,1
1524,1
1108,0
1548,0
125,1
544,0
1042,0
1432,1
1343,0
1462,1
1224,0
874,0
1653,0
1741,1
592,1
1182,0
1714,0
1360,1
1405,0
847,0
421,0
638,0
1488,0
708,0
528,0
1289,0
262,0
778,1
241,1
1170,0
953,0
926,0
821,0
594,0
416,0
72,0
366,0
260,0
52,0
1226,1
911,0
1659,0
1205,0
917,0
372,0
1704,1
433,0
1256,0
409,0
1584,0
615,0
756,0
1051,0
515,0
142,0
1139,1
1233,0
1660,0
1349,0
417,0
1469,0
272,1
185,0
757,0
245,1
440,0
661,0
1766,1
323,0
817,0
889,0
590,0
1318,1
1290,0
251,1
701,0
1162,1
415,0
383,0
839,1
1651,0
980,0
1145,1
495,1
951,0
399,0
1346,0
171,0
1050,0
1202,1
428,1
301,0
1666,1
395,0
1236,0
1054,0
507,0
1738,0
1028,1
1418,0
530,0
1109,0
1719,0
555,0
176,0
1627,0
620,1
1237,1
1010,0
744,1
1262,1
