image_id,original_culture,irish_culture,chinese_culture
1193,1,0,0
427,0,0,0
1474,0,0,0
766,0,0,0
486,1,1,1
480,0,0,0
110,0,0,0
775,0,0,0
1388,1,1,1
1189,0,0,0
1721,1,0,0
531,0,0,0
985,0,0,0
539,1,1,1
1058,0,0,0
678,1,1,1
1102,1,1,1
317,0,0,0
1150,0,0,0
931,0,0,0
345,0,0,0
591,1,1,1
949,1,1,1
786,1,0,1
882,0,0,0
562,0,0,0
1141,0,0,0
304,0,0,0
221,0,0,0
1272,0,0,0
1081,1,1,1
742,1,0,0
1269,1,1,1
600,0,0,0
325,0,0,0
1711,0,0,0
943,1,1,1
549,0,0,0
830,0,0,0
1366,0,0,0
382,0,0,0
1450,1,1,1
30,0,0,0
866,0,0,0
1703,1,0,1
1044,0,0,0
1492,1,1,0
1709,0,0,0
1638,0,0,0
1716,0,0,0
1254,1,1,1
116,0,0,0
680,1,0,0
1423,0,0,0
1245,1,0,0
1091,1,0,0
66,0,0,0
213,0,0,0
558,0,0,0
1111,1,1,1
1616,0,0,0
1253,1,0,0
71,0,0,0
340,0,0,0
367,0,0,0
1664,1,1,1
484,0,1,0
577,0,0,0
136,0,0,0
24,1,1,0
629,0,0,0
887,1,1,1
1238,1,1,1
355,0,0,0
1034,1,1,1
1344,1,1,1
1512,1,1,1
353,0,0,0
632,1,0,0
1636,0,0,1
479,0,0,0
384,0,0,0
1031,0,0,0
238,0,0,0
1358,1,0,1
332,0,0,0
1455,0,0,0
112,0,0,0
1720,1,1,1
1092,0,0,0
189,0,0,0
652,0,0,0
937,1,0,1
414,0,0,0
465,0,0,0
599,1,0,0
940,0,0,0
368,0,0,0
163,0,0,0
333,0,0,0
1641,1,0,0
1755,0,0,0
1679,0,0,0
1069,1,1,1
174,0,0,0
1152,0,0,0
454,1,0,0
755,0,0,0
1698,1,0,1
1027,1,1,1
1206,1,1,1
204,1,0,0
863,0,0,0
375,0,0,0
1533,1,0,1
472,0,0,0
1336,1,0,0
487,1,1,1
1270,0,0,0
586,0,0,0
583,0,0,0
426,0,0,0
1277,1,1,1
1393,0,0,0
1712,0,0,0
1696,0,0,0
1441,0,0,0
1396,0,0,0
1278,0,0,0
1024,1,0,1
1658,0,0,0
50,1,1,1
995,0,0,0
1442,0,0,0
1381,0,0,0
619,0,0,0
535,0,0,0
711,0,0,0
1461,0,0,0
1744,1,0,0
868,0,0,0
79,0,0,0
211,0,0,0
1209,0,0,0
74,0,0,0
70,0,0,0
820,1,1,1
1183,1,1,1
1115,1,0,1
731,0,0,0
527,0,0,0
434,0,0,0
451,0,0,0
608,1,1,1
1384,1,1,1
1753,0,0,0
77,1,1,1
1625,0,0,0
1730,1,1,1
1316,0,0,0
483,0,0,0
1768,0,0,0
299,0,0,0
611,0,0,0
255,0,0,0
1001,0,0,0
979,0,0,0
31,0,0,0
1129,0,0,0
670,0,0,0
1472,1,1,1
352,0,0,0
1306,0,0,0
1376,1,0,0
100,0,0,0
915,0,0,0
248,0,0,0
1380,1,1,1
835,0,0,0
252,0,0,0
169,0,0,0
924,1,1,1
240,0,0,0
1112,0,0,0
695,0,0,0
1736,0,0,0
463,0,0,0
1453,0,0,0
533,0,0,0
1125,1,1,0
33,0,0,0
1345,0,0,0
234,0,0,0
498,0,0,0
1122,1,1,1
910,0,0,0
933,0,0,0
186,0,0,0
1701,1,1,1
1377,1,0,0
343,0,0,0
45,0,0,0
901,0,0,0
571,0,0,0
974,0,0,0
890,1,0,1
197,0,0,0
880,0,0,0
988,0,0,0
1342,1,1,0
60,0,0,0
1210,1,1,1
290,0,0,0
298,0,0,0
1114,0,0,0
1074,1,1,1
1565,1,1,1
1320,1,0,1
1433,0,0,0
1561,1,1,1
124,0,0,0
1353,1,1,1
556,0,0,0
1770,0,0,0
271,0,0,0
1777,1,1,1
1134,0,0,0
1615,1,1,1
1610,0,0,0
814,0,0,0
1558,1,0,0
276,0,0,0
1454,1,0,1
964,0,0,0
351,0,0,0
773,0,0,0
1541,1,1,1
1527,0,0,0
965,0,0,0
1000,0,0,0
1282,0,0,0
1279,1,0,0
1579,1,0,0
1614,0,0,0
1337,1,1,1
68,0,0,0
1524,0,0,0
1108,0,0,0
1548,0,0,0
125,1,0,0
544,0,0,0
1042,1,1,1
1432,0,0,0
1343,1,1,1
1462,1,1,1
1224,1,1,1
874,0,0,0
1653,0,0,0
1741,1,1,1
592,1,1,0
1182,1,1,1
1714,0,1,0
1360,0,0,0
1405,1,0,1
847,0,0,0
421,0,0,0
638,1,1,1
1488,0,0,0
708,1,1,1
528,0,0,0
1289,1,1,1
262,1,1,0
778,1,1,1
241,0,0,0
1170,1,1,1
953,0,0,0
926,0,0,0
821,1,1,1
594,0,0,0
416,0,0,0
72,0,0,0
366,0,0,0
260,1,1,1
52,1,0,0
1226,0,0,0
911,0,0,0
1659,0,0,0
1205,1,0,0
917,0,0,0
372,0,0,0
1704,1,1,1
433,0,0,0
1256,1,0,1
409,0,0,0
1584,1,0,0
615,0,0,0
756,0,0,0
1051,0,0,0
515,0,0,0
142,0,0,0
1139,1,0,0
1233,0,0,0
1660,0,0,0
1349,0,0,0
417,0,0,0
1469,1,1,1
272,0,0,0
185,0,0,0
757,0,1,0
245,0,0,0
440,0,0,0
661,0,0,0
1766,1,1,1
323,0,0,0
817,0,0,0
889,0,0,0
590,0,0,0
1318,1,1,1
1290,0,0,0
251,0,0,0
701,0,0,0
1162,1,1,1
415,0,0,0
383,0,0,0
839,1,1,1
1651,0,0,0
980,0,0,0
1145,0,0,0
495,1,0,0
951,0,0,0
399,0,0,0
1346,1,0,1
171,0,0,0
1050,0,0,0
1202,0,0,0
428,1,1,1
301,0,0,0
1666,1,1,1
395,0,0,0
1236,1,0,0
1054,0,0,0
507,0,0,0
1738,0,0,0
1028,1,0,0
1418,0,0,0
530,1,1,1
1109,0,0,0
1719,0,0,0
555,0,0,0
176,0,0,0
1627,1,0,1
620,0,0,0
1237,1,1,1
1010,1,1,1
744,0,0,0
1262,1,1,1
