image_id,label
1193,1
427,0
1474,0
766,0
486,0
480,0
110,0
775,0
1388,0
1189,0
1721,0
531,1
985,0
539,0
1058,0
678,1
1102,0
317,0
1150,1
931,0
345,1
591,0
949,0
786,0
882,1
562,0
1141,0
304,1
221,0
1272,0
1081,1
742,0
1269,0
600,0
325,0
1711,1
943,1
549,0
830,0
1366,0
382,0
1450,0
30,0
866,0
1703,0
1044,1
1492,0
1709,0
1638,1
1716,0
1254,0
116,1
680,0
1423,0
1245,0
1091,0
66,0
213,0
558,0
1111,0
1616,1
1253,1
71,0
340,0
367,0
1664,0
484,0
577,0
136,0
24,0
629,0
887,1
1238,1
355,0
1034,0
1344,1
1512,0
353,0
632,1
1636,1
479,0
384,0
1031,0
238,0
1358,1
332,0
1455,0
112,1
1720,0
1092,0
189,0
652,0
937,1
414,0
465,0
599,0
940,0
368,0
163,0
333,0
1641,1
1755,0
1679,0
1069,0
174,1
1152,0
454,0
755,0
1698,0
1027,0
1206,0
204,0
863,1
375,0
1533,0
472,0
1336,0
487,0
1270,1
586,1
583,0
426,0
1277,1
1393,0
1712,0
1696,0
1441,0
1396,0
1278,0
1024,0
1658,0
50,0
995,1
1442,0
1381,0
619,0
535,0
711,0
1461,0
1744,0
868,1
79,0
211,0
1209,0
74,0
70,0
820,1
1183,0
1115,0
731,0
527,0
434,0
451,0
608,0
1384,0
1753,0
77,1
1625,0
1730,0
1316,0
483,1
1768,0
299,0
611,0
255,0
1001,1
979,0
31,0
1129,0
670,0
1472,0
352,0
1306,0
1376,1
100,0
915,0
248,1
1380,0
835,0
252,0
169,0
924,0
240,0
1112,0
695,0
1736,0
463,0
1453,0
533,1
1125,0
33,0
1345,0
234,0
498,0
1122,1
910,0
933,0
186,0
1701,0
1377,0
343,0
45,0
901,0
571,1
974,0
890,0
197,0
880,1
988,0
1342,0
60,0
1210,1
290,0
298,0
1114,0
1074,0
1565,0
1320,1
1433,0
1561,0
124,0
1353,0
556,0
1770,0
271,1
1777,0
1134,0
1615,0
1610,0
814,1
1558,0
276,0
1454,0
964,0
351,0
773,0
1541,1
1527,1
965,1
1000,0
1282,0
1279,0
1579,1
1614,0
1337,1
68,1
1524,1
1108,0
1548,0
125,1
544,0
1042,1
1432,0
1343,0
1462,0
1224,1
874,0
1653,0
1741,1
592,0
1182,1
1714,0
1360,1
1405,0
847,0
421,0
638,1
1488,1
708,0
528,0
1289,0
262,0
778,0
241,0
1170,1
953,0
926,0
821,0
594,1
416,0
72,0
366,0
260,1
52,0
1226,1
911,0
1659,0
1205,1
917,1
372,0
1704,1
433,0
1256,0
409,0
1584,0
615,0
756,0
1051,0
515,0
142,0
1139,1
1233,0
1660,0
1349,1
417,0
1469,1
272,0
185,1
757,0
245,0
440,0
661,0
1766,0
323,0
817,0
889,0
590,0
1318,0
1290,1
251,1
701,0
1162,0
415,0
383,0
839,0
1651,0
980,0
1145,0
495,0
951,0
399,0
1346,0
171,0
1050,0
1202,0
428,0
301,0
1666,1
395,0
1236,0
1054,0
507,0
1738,0
1028,0
1418,0
530,1
1109,0
1719,0
555,0
176,0
1627,0
620,0
1237,0
1010,0
744,0
1262,0
